,Week starting on...,1-Jan,8-Jan,15-Jan,22-Jan,1-Feb,8-Feb,15-Feb,22-Feb,1-Mar,8-Mar,15-Mar,22-Mar,1-Apr,8-Apr,15-Apr,22-Apr,1-May,8-May,15-May,22-May,1-Jun,8-Jun,15-Jun,22-Jun,1-Jul,8-Jul,15-Jul,22-Jul,1-Aug,8-Aug,15-Aug,22-Aug,1-Sep,8-Sep,15-Sep,22-Sep,1-Oct,8-Oct,15-Oct,22-Oct,1-Nov,8-Nov,15-Nov,22-Nov,1-Dec,8-Dec,15-Dec,22-Dec
Frequency (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,King Vulture,5.263157895,0,0,0,0,8.333333333,5.714285714,0,0,0,0,6.25,6.896551724,0,0,7.01754386,0,3.03030303,3.448275862,4.395604396,2.173913043,2.479338843,4.838709677,0,1.960784314,1.538461538,1.807228916,4.390243902,4.255319149,4.87804878,7.894736842,2.380952381,2.173913043,10,9.900990099,6.153846154,0,1.5625,0,3.092783505,6.557377049,6.666666667,4.761904762,0,16.66666667,0,0,4.545454545
,Total # checklists submitted - (King Vulture),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,King Vulture,0.052631579,0,0,0,0,0.083333333,0.085714286,0,0,0,0,0.0625,0.103448276,0,0,0.052631579,0,0.03030303,0.034482759,0.054945055,0.032608696,0.016528926,0.048387097,0,0,0.015384615,0.006024096,0.053658537,0.042553191,0.170731707,0.131578947,0,0.065217391,0.0875,0.138613861,0.076923077,0,0,0,0.030927835,0.114754098,0.044444444,0.095238095,0,0,0,0,0
,Total # checklists submitted - (King Vulture),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds Per Party Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,King Vulture,0.25,0,0,0,0,1,1.443223443,0,0,0,0,0.166666667,0,0,0,1.458333333,0,0.333333333,0.333333333,1.782904523,0.503367689,0.157156124,0.277777778,0,0,2.187476565,0.333333333,0.315763847,0.586956522,1.057692308,0.305555556,0,0.75,0.181818182,0.625,0.194444444,0,0,0.25,0.485269594,4.28939759,0.222222222,0.166666667,0,0,0,0,0.5
,# checklists reporting species - (King Vulture),1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,1,1,3,2,3,2,0,0,2,1,10,2,2,2,0,1,2,2,3,0,0,1,2,3,2,1,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,King Vulture,1,0,0,0,0,1,2,0,0,0,0,1,3,0,0,2,0,1,1,2,2,1,2,0,1,1,1,5,1,4,4,2,3,2,6,3,0,1,1,1,4,1,4,0,1,0,0,1
,# checklists reporting species - (King Vulture),1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,4,0,2,1,4,2,4,4,0,2,3,4,11,2,3,4,2,1,8,11,4,0,1,2,3,4,3,2,0,1,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,King Vulture,1,0,0,0,0,1,3,0,0,0,0,1,3,0,0,3,0,1,1,5,3,3,4,0,0,3,1,17,2,9,5,2,3,7,15,5,0,0,1,3,7,2,6,0,0,0,0,1
,# checklists reporting species - (King Vulture),1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,1,1,3,2,3,3,0,0,3,1,11,2,3,2,1,1,6,6,3,0,0,1,3,4,2,2,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,King Vulture,1,0,0,0,0,1,1.5,0,0,0,0,1,3,0,0,1.5,0,1,1,1.666666667,1.5,1,1.333333333,0,0,1,1,1.545454545,1,3,2.5,2,3,1.166666667,2.5,1.666666667,0,0,1,1,1.75,1,3,0,0,0,0,1
,# checklists reporting species - (King Vulture),1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,1,1,3,2,3,3,0,0,3,1,11,2,3,2,1,1,6,6,3,0,0,1,3,4,2,2,0,0,0,0,1
